platform,slug,is_real,detail,source_table,name,state
granicus,wellington,True,HTTP 404,ca_csd,Wellington,PE
granicus,cityofnorthport,True,HTTP 404,ca_csd,Northport,PE
legistar,alameda,True,HTTP 200 len=399562,ca_csd,Alameda,SK
granicus,clearwater,True,HTTP 404,ca_csd,Clearwater,BC
granicus,cityofnewport,True,HTTP 200,ca_csd,Newport,QC
granicus,victoria,True,HTTP 200,ca_csd,Victoria,PE
granicus,sunvalley,True,HTTP 404,ca_csd,Sun Valley,SK
granicus,osage,True,HTTP 404,ca_csd,Osage,SK
granicus,cityofvernon,True,HTTP 200,ca_csd,Vernon,BC
granicus,cityofoxford,True,HTTP 404,ca_csd,Oxford,NS
granicus,morrisville,True,HTTP 404,ca_csd,Morrisville,NL
granicus,humboldt,True,HTTP 404,ca_csd,Humboldt,SK
legistar,stpaul,True,HTTP 200 len=1091802,ca_csd,St. Paul,AB
legistar,james,True,HTTP 200 len=156934,ca_csd,James,ON
granicus,langford,True,HTTP 200,ca_csd,Langford,BC
granicus,durham,True,HTTP 404,ca_csd,Durham,NB
granicus,sunnyside,True,HTTP 503,ca_csd,Sunnyside,NL
legistar,middlesex,True,HTTP 200 len=21283,ca_cd,Middlesex,ON
granicus,halfmoonbay,True,HTTP 200,ca_csd,Half Moon Bay,AB
granicus,dumfries,True,HTTP 200,ca_csd,Dumfries,NB
granicus,kearney,True,HTTP 200,ca_csd,Kearney,ON
granicus,alameda,True,HTTP 404,ca_csd,Alameda,SK
granicus,cityofelgin,True,HTTP 404,ca_csd,Elgin,QC
granicus,piedmont,True,HTTP 404,ca_csd,Piedmont,QC
granicus,king,True,HTTP 404,ca_csd,King,ON
granicus,crowsnestpass,True,HTTP 404,ca_csd,Crowsnest Pass,AB
granicus,houston,True,HTTP 200,ca_csd,Houston,BC
granicus,midland,True,HTTP 404,ca_csd,Midland,ON
granicus,pasadena,True,HTTP 404,ca_csd,Pasadena,NL
granicus,stpaul,True,HTTP 404,ca_csd,St. Paul,AB
granicus,huron,True,HTTP 302,ca_cd,Huron,ON
granicus,sudbury,True,HTTP 404,ca_cd,Sudbury,ON
