old_slug,gov_id,new_slug,evidence
plainfield,us:place:1760287,plainfield-village-il,"'Plainfield' now resolves to us:place:1760287 (Plainfield (village), IL)"
plantation,us:place:1257425,plantation-fl,"'City of Plantation' now resolves to us:place:1257425 (Plantation, FL)"
plymouth,us:place:2751730,plymouth-mn,"'City of Plymouth' now resolves to us:place:2751730 (Plymouth, MN)"
port-colborne-resolution,us:place:2509000,brockton-ma,"'Port Colborne Resolution' now resolves to us:place:2509000 (Brockton, MA)"
port-st-lucie,rtr:us:fl:port-st-lucie,port-st-lucie-fl,"'City of Port St Lucie' now resolves to rtr:us:fl:port-st-lucie (Port St. Lucie, FL)"
portage,us:place:5564100,portage-wi,"'Portage' now resolves to us:place:5564100 (Portage, WI)"
portage-mi,us:place:2665560,portage-city-mi,"'Portage, MI' now resolves to us:place:2665560 (Portage (city), MI)"
portland,us:place:4760280,portland-tn,"'Portland' now resolves to us:place:4760280 (Portland, TN)"
pratt,us:place:2057625,pratt-ks,"'City of Pratt' now resolves to us:place:2057625 (Pratt, KS)"
prescott,us:place:5565375,prescott-wi,"'Prescott' now resolves to us:place:5565375 (Prescott, WI)"
providence,us:place:4459000,providence-ri,"'City of Providence' now resolves to us:place:4459000 (Providence, RI)"
psr-c-2,rtr:us:wa:puget-sound-regional-council,puget-sound-regional-council-wa,"'Psr C 2' now resolves to rtr:us:wa:puget-sound-regional-council (Puget Sound Regional Council, WA)"
raleigh,us:place:3755000,raleigh-nc,"'Raleigh' now resolves to us:place:3755000 (Raleigh, NC)"
ramsey-county,us:county:27123,ramsey-county-mn,"'Ramsey County' now resolves to us:county:27123 (Ramsey County, MN)"
randall,us:county:48381,randall-county-tx,"'Randall' now resolves to us:county:48381 (Randall County, TX)"
red-hook-ny,us:place:3660895,red-hook-village-ny,"'Red Hook, NY' now resolves to us:place:3660895 (Red Hook (village), NY)"
redmond-wa,rtr:us:wa:redmond,the-city-of-redmond-wa,"'The City of Redmond, WA' now resolves to rtr:us:wa:redmond (The City of Redmond, WA)"
region-of-waterloo-on,ca:cd:3530,waterloo-on,"'Region Of Waterloo, ON' now resolves to ca:cd:3530 (Waterloo, ON)"
rehoboth-ma,us:cousub:2500556375,rehoboth-town-ma,"'Rehoboth, MA' now resolves to us:cousub:2500556375 (Rehoboth Town, MA)"
reno-logo-nv,rtr:us:nv:reno-logo,city-of-reno-logo-nv,"'City of Reno Logo"", NV' now resolves to rtr:us:nv:reno-logo (City of Reno Logo"", NV)"
richmond,us:place:4861892,richmond-tx,"'Richmond' now resolves to us:place:4861892 (Richmond, TX)"
richmond-hill-single-source-award,ca:csd:3519038,richmond-hill-on,"'Richmond Hill Single Source Award' now resolves to ca:csd:3519038 (Richmond Hill, ON)"
ridgecrest,us:place:0660704,ridgecrest-ca,"'City of Ridgecrest' now resolves to us:place:0660704 (Ridgecrest, CA)"
