platform,tenant_host,match,pages,stored_names,example_slug,landing_url,swagit_footer,proposed_name,proposed_gov_id,proposed_evidence,ryan_gov_name,ryan_note
swagit,ntmwd.new.swagit.com,,1,,aug-13-2025-legislative-committee-meeting-north-texas-municipal-water-district,https://ntmwd.new.swagit.com,North Texas Municipal Water District,,,,,
swagit,public.destinyhosted.com,,1,,aug-17-2026-school-board-mankato-area-public-schools,https://public.destinyhosted.com,,,,,,
swagit,rockwallisdtx.new.swagit.com,,1,,sep-16-2024-board-of-trustees-rockwall-isd,https://rockwallisdtx.new.swagit.com,Rockwall ISD,,,,,
swagit,scgtv.new.swagit.com,,1,,may-08-2019-oral-arguments,https://scgtv.new.swagit.com,,,,,,
swagit,siouxcityschools.new.swagit.com,,1,,jan-24-2022-special-board-meeting-sioux-city-community-school-district,https://siouxcityschools.new.swagit.com,Sioux City Community School District,"Sioux City Community School District, IA",us:sd:1926400,"swagit footer reads ""Sioux City Community School District"" -> ""Sioux City Community School District""",,
swagit,tabc.new.swagit.com,,1,,jan-20-2026-regular-commission-meeting-texas-alcoholic-beverage-commission,https://tabc.new.swagit.com,Texas Alcoholic Beverage Commission,,,,,
swagit,tdhca.new.swagit.com,,1,,nov-07-2024-board-meeting-texas-department-of-housing-and-community-affairs,https://tdhca.new.swagit.com,Texas Department of Housing and Community Affairs,,,,,
swagit,texashhsc.new.swagit.com,,1,,may-18-2023-state-medicaid-managed-care-advisory-committee-texas-health-and-huma,https://texashhsc.new.swagit.com,Texas Health and Human Services Commission,,,,,
swagit,traviscad.new.swagit.com,,1,,nov-06-2023-board-of-directors-meeting-travis-central-appraisal-district-25c543,https://traviscad.new.swagit.com,Travis Central Appraisal District,,,,,
swagit,triunfo.new.swagit.com,,1,,jun-25-2018-tsd-board-meeting-triunfo-water-sanitation-district,https://triunfo.new.swagit.com,Triunfo Water & Sanitation District,,,,,
swagit,trwd.new.swagit.com,,1,,jan-20-2026-board-meeting-tarrant-regional-water-district,https://trwd.new.swagit.com,Tarrant Regional Water District,,,,,
swagit,txdot.new.swagit.com,,1,,apr-30-2026-texas-transportation-commission-meetings-texas-department-of-transpo,https://txdot.new.swagit.com,Texas Department of Transportation,,,,,
swagit,woodlandscvb.new.swagit.com,,1,,mar-18-2020-visit-the-woodlands-special-board-meeting-the-woodlands-convention-a,https://woodlandscvb.new.swagit.com,The Woodlands Convention and Visitors Bureau,,,,,
swagit,wpcommunitymedia.new.swagit.com,,1,,nov-14-2018-new-hope-in-the-lord-jerry-antomattei-white-plains-community-media,https://wpcommunitymedia.new.swagit.com,White Plains Community Media,,,,,
telvue,videoplayer.telvue.com,CXN6V2zmqTebSQfLjvlDzEql3BwiQh_l,3,,school-board-meeting-meeting-of-05-13-25,https://videoplayer.telvue.com/player/CXN6V2zmqTebSQfLjvlDzEql3BwiQh_l,,,,,,
telvue,videoplayer.telvue.com,GNduNoua2rBThhw6N4PRP9OCSPf6B2ru,2,Bellefonte Borough,6-16-25-bellefonte-borough-6-16-25-bellefonte-borough-council,https://videoplayer.telvue.com/player/GNduNoua2rBThhw6N4PRP9OCSPf6B2ru,,,,,,
telvue,videoplayer.telvue.com,_SDsUsf4Q9kk48PEivDKgMQltXkMOYD2,2,Summit Planning,summit-nj-summit-planning-board-meeting-june-29-2026,https://videoplayer.telvue.com/player/_SDsUsf4Q9kk48PEivDKgMQltXkMOYD2,,,,,,
telvue,videoplayer.telvue.com,aOt1iJYvW4IQawSCE8Goebgvo0CdBFwN,2,,dda-meeting-of-6-26-24,https://videoplayer.telvue.com/player/aOt1iJYvW4IQawSCE8Goebgvo0CdBFwN,,,,,,
