page_id,slug,corpus_role,tier_before,platform,tenant_host,source_url,jurisdiction,gov_id_before,tier_after_no_signals,fetched,gov_id_after,tier_after,changed,signals_used,country_after,state_after,ca_province_after
913,ada-county-highway-district-2023-08-25-special-meeting-25-aug-2023,target,unresolved,youtube,achdidaho.civicweb.net,https://achdidaho.civicweb.net/Portal/MeetingInformation.aspx?Id=707&Org=Cal&utm_campaign=&utm_medium=email&utm_source=govDelivery,Ada County Highway District,,unresolved,True,,unresolved,False,,us,,
914,town-of-bancroft-2026-04-14-regular-meeting-of-council-14-apr-2026,target,unresolved,youtube,bancroft.civicweb.net,https://bancroft.civicweb.net/Portal/MeetingInformation.aspx?Id=1252&Org=Cal,Town of Bancroft,,unresolved,True,,unresolved,False,,us,,
918,the-city-of-rehoboth-beach-2026-06-23-rehoboth-beach-and-lewes-police-depts-and,target,unresolved,youtube,cityofrehoboth.civicweb.net,https://cityofrehoboth.civicweb.net/Portal/MeetingInformation.aspx?Id=14555&Org=Cal,the City of Rehoboth Beach,rtr:us:de:rehoboth-beach,unverified,True,us:cousub:2500556375,registry,True,org_names,us,MA,
923,city-of-hartford-2021-10-12-city-council-oct-12-2021,target,unresolved,youtube,hartford.civicweb.net,https://hartford.civicweb.net/Portal/MeetingInformation.aspx?Id=68&outputType=1,City of Hartford,,unresolved,True,,unresolved,False,,us,,
932,meeting-portal-2025-05-26-regular-meeting-of-council-26-may-2025,target,unresolved,youtube,northsaanich.civicweb.net,https://northsaanich.civicweb.net/Portal/MeetingInformation.aspx?Id=2588&Org=Cal&utm_campaign=may-26-900-little-local-libraries&utm_medium=newsletter&utm_source=CapitalDaily,Meeting Portal,,unresolved,True,ca:csd:5917005,registry,True,org_names,ca,BC,BC
933,northern-rockies-regional-municipality-2026-05-25-committee-of-the-whole-cotw-25,target,unresolved,youtube,nr.civicweb.net,https://nr.civicweb.net/Portal/MeetingInformation.aspx?Id=3085&Org=Cal,Northern Rockies Regional Municipality,,unresolved,True,,unresolved,False,,us,,
942,city-of-williamsburg-2026-01-08-city-council-jan-08-2026,target,unresolved,youtube,williamsburg.civicweb.net,https://williamsburg.civicweb.net/Portal/MeetingInformation.aspx?Id=1214&Org=Cal,City of Williamsburg,,unresolved,True,,unresolved,False,,us,,
1009,south-florida-water-management-district-2016-03-10-governing-board-monthly-meeti,target,unresolved,iqm2,sfwmd.iqm2.com,https://sfwmd.iqm2.com/Citizens/SplitView.aspx?Format=None&MediaFileFormat=wmv&MeetingID=1598&Mode=Video,South Florida Water Management District,,unresolved,True,,unresolved,False,,us,,
1014,scituate-town-council-2026-01-08-jan-8-2026-town-council-meeting,target,unresolved,youtube,clerkshq.com,https://clerkshq.com/Scituate-ri?docId=jan08_26ag&path=Scituate_Docket%2Cjan08_26ag%2C,Scituate Town Council,,unresolved,True,,unresolved,False,,us,,
1017,west-warwick-town-council-2024-10-01-oct-1-2024-town-council-mtg,target,unresolved,youtube,clerkshq.com,https://clerkshq.com/WestWarwick-ri?docId=oct01_24tc&path=West_Warwick_Council%2CWest_Warwick_Council%2C2024_COUNCIL_MINUTES%2Coct01_24tc%2C,West Warwick Town Council,,unresolved,True,,unresolved,False,,us,,
