gov_id,name,state,population,domain,hub_url,hub_fetch_status,home_fetch_status,hop_candidates_checked,fetches_used,outcome,platform,hit_url,hit_source,needs_listing_discovery,all_platforms_found,note,error
38:5501300,Alma Center village,WI,472,https://almacenterwi.gov,https://almacenterwi.gov/agendas-minutes-newsletters/,ok,ok,2,4,no_platform_link_found,,,,False,,,
37:3300101060,Alton town,NH,,https://alton.nh.gov,https://alton.nh.gov/town-meeting-videos/,ok,ok,16,10,platform_found,youtube,https://www.youtube.com/embed/live_stream?channel=UCVr5iN3tLcjJInGXkTp4yIA&autoplay=1,hub_icon_shortcut_page_anchor,False,youtube:https://www.youtube.com/embed/live_stream?channel=UCVr5iN3tLcjJInGXkTp4yIA&autoplay=1; youtube:https://www.youtube.com/watch?v=8nawhmW4-Ss; youtube:https://www.youtube.com/watch?v=ulDiOiFBtYY; youtube:https://www.youtube.com/watch?v=ZGKsiwepA58; youtube:https://www.youtube.com/watch?v=0bP6uQmvopc; youtube:https://www.youtube.com/watch?v=xejy1gfBW7k; youtube:https://www.youtube.com/watch?v=2oBq3QQfvEA; youtube:https://www.youtube.com/watch?v=U8VHMmnyVfc,excluded non-actionable hit: youtube https://www.youtube.com/embed/live_stream?channel=UCVr5iN3tLcjJInGXkTp4yIA&autoplay=1 (source=hub_page_anchor); excluded non-actionable hit: youtube https://www.youtube.com/embed/live_stream?channel=UCVr5iN3tLcjJInGXkTp4yIA&autoplay=0 (source=home_page_anchor),
38:5335065,Kelso city,WA,12737,https://kelso.gov,https://kelso.gov/129/City-Council-Meetings,challenge,challenge,0,2,hub_and_home_unreachable,,,,False,,hub_url is behind a human-verification challenge; stopped there; domain home is behind a human-verification challenge; stopped there,
38:1868868,Shadeland town,IN,1839,https://shadeland.in.gov,https://shadeland.in.gov/event/parks-committee-meeting-9/,ok,ok,1,3,no_platform_link_found,,,,False,,,
36:36039,Greene County,NY,46903,https://greenegovernment.com,https://greenecountyny.iqm2.com/Citizens/Default.aspx,ok,redirect_off_host,0,2,platform_found_bare_root,iqm2,https://greenecountyny.iqm2.com/Citizens/default.aspx,hub_page_anchor,True,iqm2:https://greenecountyny.iqm2.com/Citizens/default.aspx,"domain home redirects off-host, not fetched: https://greenecountyny.gov/",
36:47113,Madison County,TN,100409,https://madisoncountytn.gov,https://madisoncountytn.gov/565/Committee-ListingsMinutesAgendas,ok,ok,13,10,no_platform_link_found,,,,False,,,
38:3506970,Bernalillo town,NM,9159,https://tobnm.gov,https://tobnm.gov/government/town_council/mayor_jack_torres.php,ok,ok,15,10,no_platform_link_found,,,,False,,,
38:2700460,Aitkin city,MN,2174,https://ci.aitkin.mn.us,https://www.ci.aitkin.mn.us/index.asp?SEC=15A684B7-3A57-470F-80AB-DFC5C41FBAAE&DE=4D91E8F6-A6E4-463C-B3E3-074FFE4348AD,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:1938640,Iowa Falls city,IA,4993,https://cityofiowafalls.com,https://www.cityofiowafalls.com/ifaa-agenda-and-minutes.html,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:3429070,Haledon borough,NJ,9063,https://haledonboronj.com,https://www.haledonboronj.com/planning-zoning-board,ok,ok,11,10,no_platform_link_found,,,,False,,"hub_hop_link redirects off-host, not fetched: https://static1.squarespace.com/static/5bd359cf9b7d1522a142aea3/t/63d2cd1f4a557a0a116076f8/1674759456051/Jan+5+2023+Meeting+Minutes.pdf; hub_hop_link redirects off-host, not fetched: https://static1.squarespace.com/static/5bd359cf9b7d1522a142aea3/t/67cef16e67094458f7cd7007/1741615471249/2025+planning+board+meetins.pdf",
36:35037,Quay County,NM,8403,https://quaycounty-nm.gov,https://www.quaycounty-nm.gov/elected-officals/commisioners/,ok,ok,11,10,no_platform_link_found,,,,False,,,
38:4157150,Pendleton city,OR,17026,https://pendletonor.gov,https://pendletonor.gov/bc,ok,ok,0,2,platform_found,civicweb,https://cityofpendletonor.civicweb.net/filepro/documents/11319/,hub_page_anchor,False,civicweb:https://cityofpendletonor.civicweb.net/filepro/documents/11319/,,
38:4538590,Kingstree town,SC,3055,https://kingstree.org,https://kingstree.org/government/mayor-town-council/agenda-minutes/,ok,ok,9,10,no_platform_link_found,,,,False,,,
38:1725141,Fairview Heights city,IL,16115,https://fairviewheightsil.gov,https://fairviewheightsil.gov/government/city-council/,ok,ok,9,10,no_platform_link_found,,,,False,,,
38:3651792,North Collins village,NY,1269,https://townofnorthcollinsny.gov,https://townofnorthcollinsny.gov/minutes--agendas.html,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:2704456,Beaver Bay city,MN,122,https://beaverbaymn.com,https://www.beaverbaymn.com/Agendas-Minutes,ok,ok,9,10,no_platform_link_found,,,,False,,,
37:4207932416,Hanover township,PA,,https://hanovertownship.org,https://hanovertownship.org/meetings.html,ok,ok,15,10,no_platform_link_found,,,,False,,,
1:3502023,Alfred and Plantagenet,ON,9949,https://www.alfred-plantagenet.com,https://www.alfred-plantagenet.com/en/government-administration/council-council-meetings/agenda-minutes-videos,ok,ok,0,2,platform_found,youtube,https://www.youtube.com/channel/UCOJQLkiJPG_EQHMeDvBFKBA/,hub_page_anchor,False,youtube:https://www.youtube.com/channel/UCOJQLkiJPG_EQHMeDvBFKBA/; youtube:https://www.youtube.com/@captmunicipal3296,,
