gov_id,unit_name,platform,outcome,reason,seed_url,title,date,page_url
us:place:0614274,"Coalinga city, CA",primegov,skipped,primegov: resolved but no transcript/agenda/video (https://coalinga.primegov.com/Portal/Meeting?meetingTemplateId=2409),,,,
ca:csd:1001504,"Portugal Cove-St. Philip's, NL",civicweb,skipped,civicweb: no civicweb link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:1010025,"Happy Valley-Goose Bay, NL",youtube,skipped,youtube: no youtube link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:2412072,"Rivière-du-Loup, QC",youtube,skipped,"youtube channel: checked 40 channel video(s), none looked like a real meeting (https://www.youtube.com/channel/UCdK9Rm-hb6Si0G0AJkkorCA)",,,,
ca:csd:2426030,"Sainte-Marie, QC",vimeo,skipped,vimeo: no vimeo link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:2429073,"Saint-Georges, QC",youtube,skipped,"youtube channel: checked 40 channel video(s), none looked like a real meeting (https://www.youtube.com/channel/UCPn8H5dAf0Twsf8hMbPiZ0Q)",,,,
ca:csd:2444037,"Coaticook, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Ville de Coaticook' (http://www.youtube.com/watch?v=1Eeuc0wOSqY?autoplay=1&rel=0&showinfo=0)",,,,
ca:csd:2445072,"Magog, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Aréna deux glaces - Avancée dans le financement et nomination de citoyens au comité des partenaires' (https://www.youtube.com/watch?v=ADl2lGtXofs)",,,,
ca:csd:2454048,"Saint-Hyacinthe, QC",youtube,skipped,youtube: no youtube link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:2458012,"Saint-Lambert, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Parc de la Coulée-Verte' (https://www.youtube.com/embed/-COTzEuCv6Q?autoplay=1&mute=1&loop=1&playlist=-COTzEuCv6Q&controls=0&showinfo=0&modestbranding=1&playsinline=1&rel=0&disablekb=1)",,,,
ca:csd:2459025,"Verchères, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Assemblée publique du Conseil municipal - 8 septembre 2026' (https://www.youtube.com/embed/z6IkocGN5HI?feature=oembed&enablejsapi=1)",,,,
ca:csd:2459035,"Contrecoeur, QC",youtube,skipped,"youtube channel: checked 40 channel video(s), none looked like a real meeting (https://www.youtube.com/channel/UC8VoCstt3TotzFpVADWl5jA)",,,,
ca:csd:2462047,"Chertsey, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Séance du conseil municipal de Chertsey du 17 août 2026' (https://www.youtube.com/watch?v=https://youtu.be/R09Bs71B_-g)",,,,
ca:csd:2463055,"Saint-Calixte, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: '' (https://youtu.be/BGFrvkysx_E)",,,,
ca:csd:2464008,"Terrebonne, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Terrebonne est prête pour la 63e de la Finale des Jeux du Québec!' (https://youtu.be/FCmgQrogIJU)",,,,
ca:csd:2471025,"Saint-Zotique, QC",youtube,skipped,youtube: no youtube link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:2474005,"Mirabel, QC",vimeo,skipped,"vimeo: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Accueil du site web - On M bouger' (https://player.vimeo.com/video/1186955036?h=15e40c2600&app_id=122963&background=1&loop=1&muted=1&title=0&byline=0&portrait=0&color=ffffff)",,,,
ca:csd:2482005,"L'Ange-Gardien, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: ""L'Ange-Gardien : une municipalité vivante !"" (https://www.youtube.com/watch?v=Wmo_9p-lVK0&t=3s&_=1)",,,,
ca:csd:2482035,"La Pêche, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Dossier citoyen personnalisé Voilà!' (https://www.youtube.com/embed/gRmBKstnpkU)",,,,
ca:csd:2489008,"Val-d'Or, QC",youtube,skipped,"youtube channel: checked 40 channel video(s), none looked like a real meeting (https://www.youtube.com/channel/UCmFTzrFy4uDEkscN51nqknA)",,,,
ca:csd:2491042,"Saint-Félicien, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Vidéo accueil été - Ville Saint-Félicien' (https://www.youtube.com/embed/cBVbV3d_7jY?autoplay=1&loop=1&controls=0&modestbranding=1&background=1&playlist=cBVbV3d_7jY&mute=1&enablejsapi=1)",,,,
ca:csd:2494240,"Saint-Honoré, QC",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Vidéo promotionnel Saint-Honoré version longue' (https://www.youtube.com/embed/UuryVPWxCP0?feature=oembed)",,,,
ca:csd:3507021,"Leeds and the Thousand Islands, ON",civicweb,skipped,civicweb: no civicweb link found on hit_source_url or first 4 hop2_urls,,,,
ca:csd:3507024,"Gananoque, ON",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: 'Business Chronicles' (https://www.youtube.com/watch?v=yD5mKT0BTf0)",,,,
