input_set,jurisdiction,gov_id,keyed,tenant_host
archive,"Town of Collingwood, ON",ca:csd:3543031,yes,pub-collingwood.escribemeetings.com
archive,"City of Corner Brook, NL",ca:csd:1005018,yes,pub-cornerbrook.escribemeetings.com
archive,"Courtenay, BC",ca:csd:5926010,yes,pub-courtenay.escribemeetings.com
archive,"Cramahe, ON",ca:csd:3514014,yes,pub-cramahe.escribemeetings.com
archive,City of Dryden,ca:csd:3560027,yes,pub-dryden.escribemeetings.com
archive,"Durham Region, ON",ca:cd:3518,yes,pub-durhamregion.escribemeetings.com
archive,"City of Elliot Lake, ON",ca:csd:3557041,yes,pub-elliotlake.escribemeetings.com
archive,"Town of Fort Erie, ON",ca:csd:3526003,yes,pub-forterie.escribemeetings.com
archive,"Town of Georgina, ON",ca:csd:3519070,yes,pub-georgina.escribemeetings.com
archive,"Goderich, ON",ca:csd:3540028,yes,pub-goderich.escribemeetings.com
archive,"Guelph, ON",ca:csd:3523008,yes,pub-guelph.escribemeetings.com
archive,Haldimand County,rtr:ca:on:haldimand-county,no,pub-haldimandcounty.escribemeetings.com
archive,"Town of Halton Hills, ON",ca:csd:3524015,yes,pub-haltonhills.escribemeetings.com
archive,City of Hamilton,rtr:ca:on:hamilton-police-services-board,no,pub-hpsb.escribemeetings.com
archive,"Lambton Shores, ON",ca:csd:3538040,yes,pub-lambtonshores.escribemeetings.com
archive,"Merrickville-Wolford, ON",ca:csd:3507052,yes,pub-merrickville-wolford.escribemeetings.com
archive,"Town of Milton, ON",ca:csd:3524009,yes,pub-milton.escribemeetings.com
archive,"Mississauga, ON",ca:csd:3521005,yes,pub-mississauga.escribemeetings.com
archive,"City of Mount Pearl, NL",ca:csd:1001542,yes,pub-mountpearl.escribemeetings.com
archive,"Nanaimo, BC",ca:csd:5921007,yes,pub-nanaimo.escribemeetings.com
archive,"City of New Westminster, BC",ca:csd:5915029,yes,pub-newwestcity.escribemeetings.com
archive,"Town of Lake Cowichan, BC",ca:csd:5919016,yes,pub-northcowichan.escribemeetings.com
archive,"Town of Okotoks, AB",ca:csd:4806012,yes,pub-okotoks.escribemeetings.com
archive,"Town of New Tecumseth, ON",ca:csd:3543007,yes,pub-oneinvestmentprogram.escribemeetings.com
archive,Orangeville,ca:csd:3522014,yes,pub-orangeville.escribemeetings.com
archive,"City of Oshawa, ON",ca:csd:3518013,yes,pub-oshawa.escribemeetings.com
archive,"City of Owen Sound, ON",ca:csd:3542059,yes,pub-owensound.escribemeetings.com
archive,"Peel Region, ON",ca:cd:3521,yes,pub-peelregion.escribemeetings.com
archive,"City of Penticton, BC",ca:csd:5907041,yes,pub-penticton.escribemeetings.com
archive,"Point Edward, ON",ca:csd:3538031,yes,pub-pointedward.escribemeetings.com
archive,"City of Port Moody, BC",rtr:ca:bc:port-moody,no,pub-portmoody.escribemeetings.com
archive,"Region Of Waterloo, ON",ca:cd:3530,yes,pub-regionofwaterloo.escribemeetings.com
archive,"City of Salmon Arm, BC",ca:csd:5939032,yes,pub-salmonarm.escribemeetings.com
archive,"Saskatoon, SK",ca:csd:4711066,yes,pub-saskatoon.escribemeetings.com
archive,"Town of Saugeen Shores, ON",ca:csd:3541045,yes,pub-saugeenshores.escribemeetings.com
archive,"City of St. John's, NL",ca:csd:1001519,yes,pub-stjohns.escribemeetings.com
archive,"City of St. Thomas, ON",ca:csd:3534021,yes,pub-stthomas.escribemeetings.com
archive,"City of Thunder Bay, ON",ca:csd:3558004,yes,pub-thunderbay.escribemeetings.com
archive,"Town of Tillsonburg, ON",ca:csd:3532004,yes,pub-tillsonburg.escribemeetings.com
archive,"Town of Grand Valley, ON",ca:csd:3522010,yes,pub-townofgrandvalley.escribemeetings.com
