input_set,gov_id,gov_name,gov_type,tier,jurisdiction,tenant_host,evidence
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:rutherford-county,Rutherford County,county,unverified,Rutherford County,rutherfordcountync.granicus.com,minted from 'Rutherford County'
archive,rtr:us:xx:rye,Town of Rye,municipality,unverified,Town of Rye,townofryeny.civicweb.net,minted from 'Town of Rye'
archive,rtr:us:xx:rye,Town of Rye,municipality,unverified,Town of Rye,townofryeny.civicweb.net,minted from 'Town of Rye'
ledger,rtr:us:xx:rye,Town of Rye,municipality,unverified,Town of Rye,townofryeny.civicweb.net,minted from 'Town of Rye'
archive,rtr:us:xx:salem,Salem,other,unverified,Salem,salem.cablecast.tv,minted from 'Salem'
archive,rtr:us:xx:saline-county,Saline County,county,unverified,Saline County,pub-salinecounty.escribemeetings.com,minted from 'Saline County'
archive,rtr:us:xx:saline-county,Saline County,county,unverified,Saline County,pub-salinecounty.escribemeetings.com,minted from 'Saline County'
archive,rtr:us:xx:salisbury,Salisbury,other,unverified,Salisbury,vimeo.com,minted from 'Salisbury'
archive,rtr:us:xx:san-diego-county-retirement-association,San Diego County Retirement Association,county,unverified,San Diego County Retirement Association,sdcera.granicus.com,minted from 'San Diego County Retirement Association'
archive,rtr:us:xx:san-marcos,City of San Marcos,municipality,unverified,City of San Marcos,sanmarcos.granicus.com,minted from 'City of San Marcos'
archive,rtr:us:xx:sandy,City of Sandy,municipality,unverified,City of Sandy,sandy.civicweb.net,minted from 'City of Sandy'
archive,rtr:us:xx:sandy,City of Sandy,municipality,unverified,City of Sandy,sandy.civicweb.net,minted from 'City of Sandy'
archive,rtr:us:xx:sandy,City of Sandy,municipality,unverified,City of Sandy,sandy.civicweb.net,minted from 'City of Sandy'
ledger,rtr:us:xx:sandy,City of Sandy,municipality,unverified,City of Sandy,sandy.civicweb.net,minted from 'City of Sandy'
archive,rtr:us:xx:santee,Santee,other,unverified,Santee,cityofsantee.cablecast.tv,minted from 'Santee'
archive,rtr:us:xx:saratoga-springs,City of Saratoga Springs,municipality,unverified,City of Saratoga Springs,saratogasprings-ut.gov,minted from 'City of Saratoga Springs'
ledger,rtr:us:xx:saratoga-springs,City of Saratoga Springs,municipality,unverified,City of Saratoga Springs,saratogasprings-ut.gov,minted from 'City of Saratoga Springs'
archive,rtr:us:xx:saugeenshores,Saugeenshores,other,unverified,Saugeenshores,pub-saugeenshores.escribemeetings.com,minted from 'Saugeenshores'
archive,rtr:us:xx:sb,"City of Sb""",municipality,unverified,"City of Sb""",sealbeach.primegov.com,"minted from 'City of Sb""'"
archive,rtr:us:xx:scituate-town-council,Scituate Town Council,other,unverified,Scituate Town Council,clerkshq.com,minted from 'Scituate Town Council'
archive,rtr:us:xx:scott-county,Scott County,county,unverified,Scott County,scottcountymn.gov,minted from 'Scott County'
