sgc_code,name,csd_type,province
2411035,Saint-Éloi,PE,QC
2411040,Trois-Pistoles,V,QC
2411045,Notre-Dame-des-Neiges,MÉ,QC
2411050,Saint-Mathieu-de-Rioux,MÉ,QC
2411055,Saint-Simon-de-Rimouski,MÉ,QC
2412005,Saint-Cyprien,MÉ,QC
2412010,Saint-Hubert-de-Rivière-du-Loup,MÉ,QC
2412015,Saint-Antonin,MÉ,QC
2412020,Saint-Modeste,MÉ,QC
2412025,Saint-François-Xavier-de-Viger,MÉ,QC
2412030,Saint-Épiphane,MÉ,QC
2412035,Saint-Paul-de-la-Croix,PE,QC
2412043,L'Isle-Verte,MÉ,QC
2412045,Notre-Dame-des-Sept-Douleurs,PE,QC
2412057,Cacouna,MÉ,QC
2412065,Saint-Arsène,PE,QC
