geoid,name,state,level
0511130,Paris School District,AR,unified
0511220,Parkers Chapel School District,AR,unified
0511340,Perryville School District,AR,unified
0511370,Piggott School District,AR,unified
0511610,Pocahontas School District,AR,unified
0511700,Pottsville Public Schools,AR,unified
0511730,Poyen School District,AR,unified
0511760,Prairie Grove School District,AR,unified
0511820,Prescott School District,AR,unified
0511850,Pulaski County Special School District,AR,unified
0511880,Quitman School District,AR,unified
0511970,Rogers Public Schools,AR,unified
0512000,Rose Bud School District,AR,unified
0512060,Russellville Schools,AR,unified
0512090,Salem School District,AR,unified
0512180,Scranton School District,AR,unified
0512210,Searcy School District,AR,unified
0512420,Shirley School District,AR,unified
0512450,Siloam Springs Schools,AR,unified
0512480,Sloan-Hendrix School District,AR,unified
0512510,Smackover-Norphlet School District,AR,unified
0512520,South Conway County School District,AR,unified
0512540,Southside School District,AR,unified
0512570,South Side-Bee Branch School District,AR,unified
0512630,Spring Hill School District,AR,unified
0512660,Springdale School District,AR,unified
0512930,Strong School District,AR,unified
0512960,Stuttgart School District,AR,unified
0513080,Greene County Technical School District,AR,unified
0513110,Texarkana School District,AR,unified
0513230,Jackson County School District,AR,unified
0513350,Valley Springs School District,AR,unified
0513380,Valley View School District,AR,unified
0513410,Van Buren School District,AR,unified
0513530,Vilonia School District,AR,unified
0513560,Viola School District,AR,unified
0513680,Waldron School District,AR,unified
0513930,Watson Chapel School District,AR,unified
0514010,West Fork School District,AR,unified
0514020,Westside School District,AR,unified
0514040,West Side School District,AR,unified
0514140,White Hall School District,AR,unified
0514370,Wonderview School District,AR,unified
0514400,Woodlawn School District,AR,unified
0514430,Wynne Public Schools,AR,unified
0514490,Yellville-Summit School District,AR,unified
0600001,Acton-Agua Dulce Unified School District,CA,unified
0600006,Ross Valley Elementary School District,CA,elementary
0600009,Cuyama Joint Unified School District,CA,unified
0600011,Fort Sage Unified School District,CA,unified
0600012,Twin Ridges Elementary School District,CA,elementary
0600013,Rocklin Unified School District,CA,unified
0600014,Hesperia Unified School District,CA,unified
0600015,Lucerne Valley Unified School District,CA,unified
0600016,Upland Unified School District,CA,unified
0600017,Apple Valley Unified School District,CA,unified
0600018,Mountain Valley Unified School District,CA,unified
0600019,Dublin Unified School District,CA,unified
0600020,Pleasanton Unified School District,CA,unified
0600021,Sunol Glen Unified School District,CA,unified
0600022,Mendota Unified School District,CA,unified
0600025,Manhattan Beach Unified School District,CA,unified
0600026,El Tejon Unified School District,CA,unified
0600027,Lake Elsinore Unified School District,CA,unified
0600028,Temecula Valley Unified School District,CA,unified
0600029,Murrieta Valley Unified School District,CA,unified
0600031,Big Sur Unified School District,CA,unified
0600032,Redondo Beach Unified School District,CA,unified
0600033,Dos Palos-Oro Loma Joint Unified School District,CA,unified
0600034,Windsor Unified School District,CA,unified
0600035,Farmersville Unified School District,CA,unified
0600036,Natomas Unified School District,CA,unified
0600037,Ferndale Unified School District,CA,unified
0600038,Mattole Unified School District,CA,unified
0600039,Delhi Unified School District,CA,unified
0600040,Riverdale Joint Unified School District,CA,unified
0600042,Warner Unified School District,CA,unified
0600043,Scotts Valley Unified School District,CA,unified
0600044,Healdsburg Unified School District,CA,unified
0600045,Orland Joint Unified School District,CA,unified
0600046,Gonzales Unified School District,CA,unified
0600047,Tracy Unified School District,CA,unified
0600048,Paso Robles Joint Unified School District,CA,unified
0600049,Coast Unified School District,CA,unified
0600051,Gridley Unified School District,CA,unified
0600052,Eureka City Unified School District,CA,unified
0600060,Hughson Unified School District,CA,unified
0600061,Riverbank Unified School District,CA,unified
0600062,Oakdale Joint Unified School District,CA,unified
0600063,Waterford Unified School District,CA,unified
0600064,Porterville Unified School District,CA,unified
0600065,Dinuba Unified School District,CA,unified
0600067,Caruthers Unified School District,CA,unified
0600068,Golden Valley Unified School District,CA,unified
0600069,Valley Center-Pauma Unified School District,CA,unified
0600116,Chawanakee Unified School District,CA,unified
0600153,Alhambra Unified School District,CA,unified
0600158,Turlock Unified School District,CA,unified
0600159,Scott Valley Unified School District,CA,unified
0600160,Yosemite Unified School District,CA,unified
0601331,Trinity Alps Unified School District,CA,unified
