tenant_host,state,source,evidence
charlestownri.iqm2.com,RI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
charlotte.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Charlotte County, FL'"
charlottenc.granicus.com,NC,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Charlotte, NC'"
charlottesvilleva.portal.civicclerk.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chathamcountyga.iqm2.com,GA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Chatham County, GA'"
chathamnc.granicus.com,NC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chelanwa.portal.civicclerk.com,WA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Chelan, WA'"
chemungny.granicus.com,NY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cherrytownship.com,PA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chestercopa.portal.civicclerk.com,PA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Chester County, PA'"
chestercountysc.gov,SC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chesterfieldcova.portal.civicclerk.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chesterfieldtwp.civicweb.net,MI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chesterfieldva.granicus.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chestermere.civicweb.net,AB,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cheverlymd.new.swagit.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chico-ca.granicus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Chico, CA'"
chino.granicus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Chino, CA'"
chinohills.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chinohillsca.new.swagit.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chinovalleyaz.portal.civicclerk.com,AZ,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
churchillconv.portal.civicclerk.com,NV,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ci-ssf-ca.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cincinnatioh.granicus.com,OH,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
citrusclerk.portal.civicclerk.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Citrus County, FL'"
citwentynine-palmsca.civicweb.net,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
city-lighthousepoint.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Lighthouse Point, FL'"
citychannel-ia.cablecast.tv,IA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
