zcta,place_name,state,area_land_part
07606,Teterboro borough,NJ,38358
07607,Maywood borough,NJ,3332518
07608,Hasbrouck Heights borough,NJ,50365
07608,Moonachie borough,NJ,1604832
07608,Teterboro borough,NJ,2776737
07620,Alpine borough,NJ,16578454
07621,Bergenfield borough,NJ,7521667
07621,Dumont borough,NJ,5918
07624,Closter borough,NJ,8184973
07626,Cresskill borough,NJ,5347549
07627,Demarest borough,NJ,5367610
07628,Dumont borough,NJ,5043011
07630,Emerson borough,NJ,5778027
07631,Englewood city,NJ,12745725
07631,Leonia borough,NJ,64865
07632,Englewood Cliffs borough,NJ,5506668
07640,Harrington Park borough,NJ,4779991
07641,Haworth borough,NJ,5017372
07642,Hillsdale borough,NJ,7515267
07643,Little Ferry borough,NJ,3825604
07644,Lodi borough,NJ,5885027
07645,Montvale borough,NJ,10419968
07646,New Milford borough,NJ,5912719
07647,Northvale borough,NJ,3276200
07647,Rockleigh borough,NJ,2597197
07648,Norwood borough,NJ,7213199
07649,Oradell borough,NJ,6245713
07650,Palisades Park borough,NJ,3208856
07652,Paramus borough,NJ,27052017
07656,Park Ridge borough,NJ,6752298
07657,Ridgefield borough,NJ,6585377
07660,Ridgefield Park village,NJ,4415202
07661,River Edge borough,NJ,4729301
07670,Tenafly borough,NJ,11878573
07675,Old Tappan borough,NJ,8586631
07675,Westwood borough,NJ,5849638
07677,Woodcliff Lake borough,NJ,8744046
07701,Red Bank borough,NJ,4521249
07701,Tinton Falls borough,NJ,497867
07702,Shrewsbury borough,NJ,5595735
07703,Eatontown borough,NJ,902966
07703,Oceanport borough,NJ,851178
07704,Fair Haven borough,NJ,4127084
07704,Little Silver borough,NJ,27953
07711,Allenhurst borough,NJ,648742
07711,Loch Arbour village,NJ,224727
07712,Asbury Park city,NJ,3701054
07712,Interlaken borough,NJ,858012
07712,Tinton Falls borough,NJ,8936612
07716,Atlantic Highlands borough,NJ,3273914
07717,Avon-by-the-Sea borough,NJ,1102174
07719,Belmar borough,NJ,2706937
07719,Lake Como borough,NJ,651943
07720,Bradley Beach borough,NJ,1575740
07722,Tinton Falls borough,NJ,413789
07723,Deal borough,NJ,3067161
07724,Eatontown borough,NJ,14224296
07724,Tinton Falls borough,NJ,16923200
07726,Englishtown borough,NJ,1475861
07727,Farmingdale borough,NJ,1347873
07727,Tinton Falls borough,NJ,3615279
07728,Freehold borough,NJ,5004468
07730,Union Beach borough,NJ,677997
07732,Highlands borough,NJ,1917082
07732,Sea Bright borough,NJ,0
07734,Keansburg borough,NJ,2679427
07735,Keyport borough,NJ,3577441
07735,Union Beach borough,NJ,3936289
07739,Little Silver borough,NJ,6996162
07740,Long Branch city,NJ,13255071
07747,Matawan borough,NJ,5868588
07748,Keansburg borough,NJ,97864
07750,Monmouth Beach borough,NJ,2698711
07753,Neptune City borough,NJ,2320997
07753,Tinton Falls borough,NJ,9692824
07756,Bradley Beach borough,NJ,5333
07757,Long Branch city,NJ,16949
07757,Oceanport borough,NJ,7364576
07760,Rumson borough,NJ,13123180
07760,Sea Bright borough,NJ,1864252
07762,Spring Lake Heights borough,NJ,3353356
07762,Spring Lake borough,NJ,3451114
07764,West Long Branch borough,NJ,7396967
07801,Dover town,NJ,6929977
07801,Victory Gardens borough,NJ,375860
07801,Wharton borough,NJ,13584
07821,Andover borough,NJ,3458142
07821,Hopatcong borough,NJ,14959842
07823,Belvidere town,NJ,3754042
07826,Branchville borough,NJ,1535449
07830,Califon borough,NJ,2483423
07840,Hackettstown town,NJ,9354636
07843,Hopatcong borough,NJ,10069450
07849,Hopatcong borough,NJ,72426
07850,Mount Arlington borough,NJ,691814
07856,Mount Arlington borough,NJ,4850818
07857,Netcong borough,NJ,2156667
07860,Andover borough,NJ,32824
07860,Newton town,NJ,8702617
07866,Rockaway borough,NJ,5371571
07871,Hopatcong borough,NJ,133108
07874,Hopatcong borough,NJ,2968736
07874,Stanhope borough,NJ,4759593
07882,Washington borough,NJ,5089764
07885,Wharton borough,NJ,5352897
07901,New Providence borough,NJ,699090
07901,Summit city,NJ,15472940
07920,Bernardsville borough,NJ,25469
07922,New Providence borough,NJ,18115
07924,Bernardsville borough,NJ,31002246
07928,Chatham borough,NJ,6079544
07930,Chester borough,NJ,4123961
07931,Bernardsville borough,NJ,2216150
07931,Far Hills borough,NJ,12552797
07931,Peapack and Gladstone borough,NJ,5280713
07932,Florham Park borough,NJ,17441993
07934,Peapack and Gladstone borough,NJ,4457068
07940,Florham Park borough,NJ,849808
07940,Madison borough,NJ,11171616
07945,Mendham borough,NJ,15360020
07950,Morris Plains borough,NJ,6613593
07960,Florham Park borough,NJ,195365
07960,Morristown town,NJ,7534676
07961,Florham Park borough,NJ,439188
07974,New Providence borough,NJ,8835452
07977,Peapack and Gladstone borough,NJ,5109775
08003,Lawnside borough,NJ,89594
08006,Barnegat Light borough,NJ,2151817
08007,Barrington borough,NJ,3171212
08007,Haddon Heights borough,NJ,12516
08007,Lawnside borough,NJ,1510
08007,Runnemede borough,NJ,295729
08008,Beach Haven borough,NJ,2536565
08008,Harvey Cedars borough,NJ,1453538
08008,Ship Bottom borough,NJ,1844525
08008,Surf City borough,NJ,1927027
08009,Berlin borough,NJ,9307767
08009,Pine Hill borough,NJ,2936535
08010,Beverly city,NJ,1401843
08016,Burlington city,NJ,7861183
08021,Clementon borough,NJ,4902290
08021,Laurel Springs borough,NJ,1169240
08021,Lindenwold borough,NJ,10106242
08021,Pine Hill borough,NJ,7191928
08021,Pine Valley borough,NJ,2472369
08026,Gibbsboro borough,NJ,5573837
08028,Clayton borough,NJ,317331
08028,Glassboro borough,NJ,23190383
08029,Runnemede borough,NJ,36514
08030,Brooklawn borough,NJ,1265110
08030,Gloucester City city,NJ,5964282
08031,Bellmawr borough,NJ,7727832
08033,Barrington borough,NJ,877188
08033,Haddon Heights borough,NJ,9999
08033,Haddonfield borough,NJ,7242347
08033,Tavistock borough,NJ,706605
08035,Barrington borough,NJ,46940
08035,Bellmawr borough,NJ,1463
08035,Haddon Heights borough,NJ,4034107
08037,Folsom borough,NJ,18945219
08037,Hammonton town,NJ,105540501
08042,Wrightstown borough,NJ,154507
08045,Lawnside borough,NJ,3613744
08049,Magnolia borough,NJ,2531180
08049,Somerdale borough,NJ,1039
08055,Medford Lakes borough,NJ,2951904
08059,Audubon Park borough,NJ,14547
08059,Gloucester City city,NJ,30857
08059,Mount Ephraim borough,NJ,2289568
08063,National Park borough,NJ,2609227
08065,Palmyra borough,NJ,4789824
08066,Paulsboro borough,NJ,4984406
08068,Pemberton borough,NJ,1527134
08069,Penns Grove borough,NJ,2311928
08071,Glassboro borough,NJ,340998
08071,Pitman borough,NJ,5745372
08077,Riverton borough,NJ,1714007
08078,Runnemede borough,NJ,4979952
08079,Salem city,NJ,6072059
08083,Hi-Nella borough,NJ,576438
08083,Magnolia borough,NJ,2988
08083,Somerdale borough,NJ,3604115
08084,Stratford borough,NJ,4067300
08085,Swedesboro borough,NJ,1893893
08087,Tuckerton borough,NJ,8708424
08089,Chesilhurst borough,NJ,4442825
