gov_id,unit_name,web_address
us:place:5514575,"Chippewa Falls city, WI",chippewafalls-wi.gov
us:place:5519350,"DeForest village, WI",deforestwi.gov
us:place:5519400,"Delafield city, WI",cityofdelafieldwi.gov
us:place:5536250,"Hudson city, WI",hudsonwi.gov
us:place:5551025,"Menomonie city, WI",menomonie-wi.gov
us:place:5556375,"New Berlin city, WI",newberlinwi.gov
us:place:5559250,"Oconomowoc city, WI",oconomowoc-wi.gov
us:place:5560200,"Oregon village, WI",oregonwi.gov
us:place:5563525,"Plover village, WI",ploverwi.gov
us:place:5563700,"Plymouth city, WI",plymouthwi.gov
us:place:5567475,"Richfield village, WI",richfieldwi.gov
us:place:5575125,"South Milwaukee city, WI",southmilwaukee.gov
us:place:5581250,"Twin Lakes village, WI",twinlakeswi.gov
us:place:5583825,"Waterford village, WI",waterfordwi.gov
us:place:5584425,"Waupun city, WI",cityofwaupunwi.gov
us:place:5586025,"Weston village, WI",westonwi.gov
us:place:5588200,"Wisconsin Rapids city, WI",wirapids.gov
us:place:5663900,"Rawlins city, WY",rawlinswy.gov
us:place:5677530,"Torrington city, WY",torringtonwy.gov
