platform,tenant_host,match_value,rows,reason,landing_url,stored_names,example_slug
escribe,pub-halifax.escribemeetings.com,,3,unresolved,https://pub-halifax.escribemeetings.com,Halifax,halifax-2026-06-16-case-23563-appeal-of-site-plan-approval-highway-7-porters-lak
escribe,pub-hamilton.escribemeetings.com,,3,unresolved,https://pub-hamilton.escribemeetings.com,City of Hamilton,city-of-hamilton-2024-12-16-community-benefits-protocol-sub-committee
escribe,pub-langford.escribemeetings.com,,3,unresolved,https://pub-langford.escribemeetings.com,City of Langford|Langford,langford-sd-2026-03-02-council-meeting
escribe,pub-mission.escribemeetings.com,,3,unresolved,https://pub-mission.escribemeetings.com,City of Mission|Mission,mission-2026-03-02-healthcare-in-mission-regular-council-meeting
escribe,pub-norfolkcounty.escribemeetings.com,,3,unresolved,https://pub-norfolkcounty.escribemeetings.com,Norfolk County,norfolkcounty-2026-01-27-consent-items-council
escribe,pub-oliver.escribemeetings.com,,3,unresolved,https://pub-oliver.escribemeetings.com,Town of Oliver,oliver-2025-12-08-special-open-council-meeting
escribe,pub-paradise.escribemeetings.com,,3,unresolved,https://pub-paradise.escribemeetings.com,Town of Paradise,paradise-2025-09-02-public-council-meeting
escribe,pub-porthope.escribemeetings.com,,3,unresolved,https://pub-porthope.escribemeetings.com,Port Hope,port-hope-2026-08-25-community-advisory-committee-cac
escribe,pub-wilmot.escribemeetings.com,,3,unresolved,https://pub-wilmot.escribemeetings.com,Wilmot,wilmot-2026-08-24-council-meeting
escribe,pub-amherst.escribemeetings.com,,2,unresolved,https://pub-amherst.escribemeetings.com,Amherst|Town of Amherst,town-of-amherst-2025-03-04-audit-committee
escribe,pub-creston.escribemeetings.com,,2,unresolved,https://pub-creston.escribemeetings.com,Town of Creston,creston-2025-10-14-council-meeting
escribe,pub-leeds1000islands.escribemeetings.com,,2,unresolved,https://pub-leeds1000islands.escribemeetings.com,Leeds1000Islands,leeds1000islands-2025-12-01-committee-of-the-whole-meeting
escribe,pub-northbay.escribemeetings.com,,2,unresolved,https://pub-northbay.escribemeetings.com,North Bay|North Bay By,north-bay-by-2026-01-27-council-meeting
escribe,pub-salinecounty.escribemeetings.com,,2,unresolved,https://pub-salinecounty.escribemeetings.com,Saline County,salinecounty-2026-01-20-board-of-county-commissioners
escribe,pub-sd57.escribemeetings.com,,2,unresolved,https://pub-sd57.escribemeetings.com,Sd57,sd57-2026-04-14-regular-open
escribe,pub-whiterockcity.escribemeetings.com,,2,unresolved,https://pub-whiterockcity.escribemeetings.com,City of White Rock,white-rock-sd-2025-10-20-2025-events-year-in-review-regular-council-meeting
escribe,pub-bradfordwestgwillimbury.escribemeetings.com,,1,unresolved,https://pub-bradfordwestgwillimbury.escribemeetings.com,Town of Bradford,bradfordwestgwillimbury-2024-08-06-regular-council-and-committee-of-the-whole
escribe,pub-chulavista.escribemeetings.com,,1,unresolved,https://pub-chulavista.escribemeetings.com,Chula Vista Public Comments,chula-vista-public-comments-2026-05-19-city-council-meeting
escribe,pub-clearview.escribemeetings.com,,1,unresolved,https://pub-clearview.escribemeetings.com,Clearview,clearview-2026-08-26-special-council-meeting-planning-public-meeting
escribe,pub-cofs.escribemeetings.com,,1,unresolved,https://pub-cofs.escribemeetings.com,Cofs,cofs-2023-12-12-regular-council-meeting
escribe,pub-cvrd.escribemeetings.com,,1,unresolved,https://pub-cvrd.escribemeetings.com,Cvr D,cvrd-2026-07-08-2026-cowichan-valley-regional-district-climate-projections-commi
escribe,pub-elliotlake.escribemeetings.com,,1,unresolved,https://pub-elliotlake.escribemeetings.com,Elliot Lake GIS Services SSMIC,elliot-lake-gis-services-ssmic-2025-12-08-council
escribe,pub-fairfield.escribemeetings.com,,1,unresolved,https://pub-fairfield.escribemeetings.com,Fairfield,fairfield
escribe,pub-king.escribemeetings.com,,1,unresolved,https://pub-king.escribemeetings.com,King,king-2026-08-19-committee-of-adjustment
escribe,pub-leduc-county.escribemeetings.com,,1,unresolved,https://pub-leduc-county.escribemeetings.com,Leduc County,leduc-county-2024-04-09-council-meeting
escribe,pub-llbc.escribemeetings.com,,1,unresolved,https://pub-llbc.escribemeetings.com,Llbc,llbc-2025-07-22-cold-mix-township-road-660a-and-range-road-134-regular-council-m
escribe,pub-notl.escribemeetings.com,,1,unresolved,https://pub-notl.escribemeetings.com,Notl,notl-2026-01-27-council-meeting
escribe,pub-oneinvestmentprogram.escribemeetings.com,,1,unresolved,https://pub-oneinvestmentprogram.escribemeetings.com,Oneinvestmentprogram,oneinvestmentprogram-2024-11-15-joint-investment-board-special-meeting
escribe,pub-palmdesert.escribemeetings.com,,1,unresolved,https://pub-palmdesert.escribemeetings.com,Palm Desert City Negotiator,palm-desert-city-negotiator-2026-06-25-resolutions-related-to-the-adoption-of-th
escribe,pub-prescott.escribemeetings.com,,1,unresolved,https://pub-prescott.escribemeetings.com,Prescott,prescott-2024-10-07-council-agenda
escribe,pub-rmwb.escribemeetings.com,,1,unresolved,https://pub-rmwb.escribemeetings.com,Rmwb,rmwb-2026-01-13-council-meeting
escribe,pub-shelburne.escribemeetings.com,,1,unresolved,,Town of Shelburne,
escribe,pub-stratford.escribemeetings.com,,1,unresolved,https://pub-stratford.escribemeetings.com,Stratford Ad,stratford-ad-2024-09-16-ad-hoc-grand-trunk-renewal-committee
escribe,pub-townofws.escribemeetings.com,,1,unresolved,https://pub-townofws.escribemeetings.com,Townofws,townofws-2025-06-04-council-meeting
