tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
www.youtube.com,channel=@CityofButlerIN,us:place:1809532,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/butler-city-in-2026-06-01-city-of-butler-city-council-june-1st-2026; owner title ""City of Butler, IN""",,1,True
www.youtube.com,channel=@CityofCampbellsville,us:place:2112160,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/campbellsville-ky-2026-07-21-campbellsville-city-council-meeting-july-20-2026; owner title ""City of Campbellsville""",,1,True
www.youtube.com,channel=@CityofCaro,us:place:2613420,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/caro-mi-2026-04-21-regular-meeting-04-20-26; owner title ""City of Caro""",,1,True
www.youtube.com,channel=@CityofCentral,us:place:2213960,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/city-of-central-2024-09-25-9-24-24-council-meeting-part-3; owner title ""City of Central""",,1,True
www.youtube.com,channel=@CityofCentreville,us:place:0113672,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/city-of-centreville-2025-07-10-centreville-city-council-7-1-2025; owner title ""City of Centreville""",,1,True
www.youtube.com,channel=@CityofCherokeeVillage,us:place:0513450,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/cherokee-village-ar-2026-01-16-cherokee-village-city-council-meeting-january-15t; owner title ""City of Cherokee Village""",,1,True
www.youtube.com,channel=@CityofClayton,us:place:2914572,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/clayton-2026-09-09-09-08-2026-city-council-meeting; owner title ""CityofClayton""",,1,True
www.youtube.com,channel=@CityofCoquitlam,ca:csd:5915034,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/coquitlam-bc-2024-12-04-recording-of-virtual-information-session-december-3-2024; owner title ""CityofCoquitlam""",Coquitlam,1,True
www.youtube.com,channel=@CityofCordovaAlaska,us:place:0217410,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/cordova-ak-2026-05-21-may-20-2026-city-council-regular-meeting; owner title ""City of Cordova Alaska""",,1,True
www.youtube.com,channel=@CityofCrawford,us:place:3111195,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/city-of-crawford-2026-04-23-2026-0414-city-council-and-special-hearing-meeting; owner title ""City of Crawford""",,1,True
www.youtube.com,channel=@CityofCreedmoorNC,us:place:3715320,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/creedmoor-nc-2024-04-12-copy-of-city-of-creedmoor-nc-board-of-commissioners-regu; owner title ""CITY OF CREEDMOOR, NC""",,1,True
www.youtube.com,channel=@CityofDP,us:place:2918253,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/dardenne-prairie-mo-2026-09-10-september-9-2026-planning-zoning-meeting; owner title ""City of Dardenne Prairie""",,1,True
www.youtube.com,channel=@CityofDicksonTN,us:place:4720620,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/dickson-tn-2026-09-02-city-of-dickson-city-council-meeting; owner title ""City of Dickson, TN""",,1,True
www.youtube.com,channel=@CityofDublinGA,us:place:1324376,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/dublin-2026-09-05-city-council-meeting-9-3-26; owner title ""City of Dublin GA""",,1,True
www.youtube.com,channel=@CityofDuluthGAOfficial,us:place:1324600,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/duluth-ga-2025-06-18-conversations-with-council-bunten-rd-park-resurfacing-proje; owner title ""City of Duluth, GA""",,1,True
www.youtube.com,channel=@CityofElCampoTexas,us:place:4822864,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/el-campo-tx-2026-09-08-city-of-el-campo-city-council-special-called-meeting-sept; owner title ""City of El Campo, Texas""",,1,True
www.youtube.com,channel=@CityofEldridgeIowa,us:place:1924600,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/eldridge-ia-2026-09-10-2026-09-09-special-committee-of-the-whole; owner title ""City of Eldridge, Iowa""",,1,True
